File.Name,Region.of.Interest,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Computation.Time.s,Root.Length.Diameter.Range.1.mm,Projected.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.1.mm2,Volume.Diameter.Range.1.mm3
POEM2021_T001_L008_2022.05.19_120620_019_IAC.png,Full,248,238,410.957842,0.579135,54.249182,0.147773,0.128515,0.723575,800.060221,9.093796,191.389798,0.857,410.957842,60.919943,191.389798,9.093796
POEM2021_T001_L010_2022.05.19_120631_019_IAC.png,Full,347,511,673.748487,0.758443,102.349834,0.18357,0.143684,1.097468,1238.132121,26.74831,388.833693,1.077,673.748487,123.751403,388.833693,26.74831
POEM2021_T001_L012_2022.05.19_120642_019_IAC.png,Full,350,546,636.036708,0.858441,98.643829,0.183255,0.154753,0.977052,1167.232631,23.355106,366.51601,1.09,636.036708,116.654713,366.51601,23.355106
POEM2021_T001_L024_2022.05.19_120753_019_IAC.png,Full,86,115,377.576512,0.304574,51.516387,0.152536,0.130111,0.679126,724.157077,8.431187,181.432284,0.816,377.576512,57.75169,181.432284,8.431187
POEM2021_T001_L030_2022.05.19_120831_019_IAC.png,Full,172,196,496.583705,0.394697,74.696418,0.180001,0.136311,2.01168,941.547014,21.197877,279.07991,0.926,496.583705,88.828077,279.07991,21.197877
POEM2021_T001_L038_2021.08.04_090523_008_IAC.png,Full,40,30,157.584622,0.190374,23.656417,0.162521,0.109427,0.581876,308.763367,5.160319,81.462729,0.657,157.584622,25.930392,81.462729,5.160319
